,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,degree,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,specificity_CI_diff,sensitivity_CI_diff,phi_CI_diff,AUC_CI_diff,sensitivity_CI_diff_impact,specificity_CI_diff_impact,sort_on_sensitivity,sort_on_specificity,sort_on_balanced,sort_on_sensitivity_impact,sort_on_specificity_impact
78,mean_area:q40-60  mean_concave_points:q60-80  mean_radius:q40-60,21,0.8571428571428571,0.9067206798038655,1.0,0.7857142857142857,6,0.8461538461538461,0.9534207121102133,0.9963897031380992,True,0.6123724356957946,0.9166666666666666,0.8214285714285714,12,0.4920243229515283,11,0.42127680295680187,0.6424389512804156,14,1,0.7857142857142857,9,0.318845280928557,7,3,3,q40-60,,q60-80,,,,q40-60,,,,-1.0,-1.0,-1.1362899135890996,-0.9684648356728454,0,0,1057,1029,1360,,
79,mean_area:q40-60  mean_concave_points:q40-60  mean_radius:q40-60,33,1.0,1.0,1.0,0.6666666666666666,30,0.8,0.9915962413403874,1.0,True,0.8032193289024988,1.0,0.8333333333333333,2,0.09429932405071303,2,0.8842966917779725,0.5066726692433243,3,0,0.6666666666666666,31,0.0,30,1,3,q40-60,,q40-60,,,,q40-60,,,,-0.9696243663758238,-1.0,-1.0,-1.0,0,0,531,679,906,,
80,mean_area:q40-60  mean_concave_points:q20-40  mean_radius:q40-60,31,1.0,0.0,,0.0,29,,0.841886116991607,1.0,True,0.0,,,0,0.0,0,0.8805551309302788,,2,0,0.0,31,0.0,29,2,3,q40-60,,q20-40,,,,q40-60,,,,-1.0,-1.0,,,0,0,510,728,737,,
81,mean_area:q40-60  mean_concave_points:q00-20  mean_radius:q40-60,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q40-60,,q00-20,,,,q40-60,,,,-1.0,,,,0,0,1421,1248,1257,,
82,mean_area:q60-80  mean_concave_points:q80-100  mean_radius:q60-80,29,1.0,1.0,,1.0,1,1.0,1.0,1.0,True,1.0,1.0,1.0,28,0.8765638814997305,28,0.025000000000000022,,28,0,1.0,1,0.0,1,0,3,q60-80,,q80-100,,,,q60-80,,,,-1.0,-1.3610812791666789,-1.0,,0,0,781,842,1135,,
83,mean_area:q60-80  mean_concave_points:q60-80  mean_radius:q60-80,42,0.6153846153846154,0.7127685207746527,0.9047068687282713,0.896551724137931,8,0.8666666666666666,0.9781362631701468,0.8614206611098402,True,0.5382814881567385,0.8387096774193549,0.7559681697612732,31,0.7264848021076974,26,0.31577760291405943,0.6072294707942751,29,5,0.896551724137931,11,0.08420069303194523,13,3,3,q60-80,,q60-80,,,,q60-80,,,,-1.0,-1.0,-0.7817902481839242,-1.0,0,0,497,409,751,,
84,mean_area:q60-80  mean_concave_points:q40-60  mean_radius:q60-80,28,0.9523809523809523,1.0,1.0,0.8571428571428571,20,0.8571428571428571,0.9963897031380992,0.9987951165516293,True,0.8095238095238095,0.8571428571428571,0.9047619047619048,7,0.42127680295680187,6,0.761840090063179,0.7571916589751044,7,1,0.8571428571428571,21,0.4952682885216836,21,1,3,q60-80,,q40-60,,,,q60-80,,,,-1.2132518346290122,-1.0,-1.0552156156420314,-0.9928369736322188,0,0,783,758,1141,,
85,mean_area:q80-100  mean_concave_points:q80-100  mean_smoothness:q80-100,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,,,,q80-100,,,,-0.9654375312655138,,,0,0,1067,1259,1096,,
86,mean_area:q80-100  mean_concave_points:q80-100  mean_smoothness:q60-80,27,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,27,0.8722971323845661,27,,,27,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,,,,q60-80,,,,-0.8526132788758434,,,0,0,1004,1208,1043,,
87,mean_area:q00-20  mean_concave_points:q00-20  mean_smoothness:q00-20,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q00-20,,q00-20,,,,,q00-20,,,-0.7995990753077644,,,,0,0,1388,1212,1220,,
88,mean_area:q80-100  mean_concave_points:q80-100  mean_symmetry:q80-100,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,,,,,q80-100,,,-0.8747205002906814,,,0,0,1063,1262,1094,,
89,mean_area:q80-100  mean_concave_points:q80-100  mean_symmetry:q40-60,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,,,,,q40-60,,,-0.8963265451055127,,,0,0,1243,1383,1213,,
90,mean_area:q80-100  mean_concave_points:q80-100  mean_texture:q60-80,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,,,,,,q60-80,,-0.7216630021459522,,,0,0,1297,1384,1212,,
91,mean_area:q80-100  mean_concave_points:q80-100  mean_texture:q80-100,28,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,28,0.8765638814997305,28,,,28,0,1.0,0,0.0,0,0,3,q80-100,,q80-100,,,,,,,q80-100,,-0.7137076566338322,,,0,0,1149,1214,1040,,
92,mean_area:q80-100  mean_concavity:q80-100  mean_fractal_dimension:q40-60,21,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,21,0.8389023847809204,21,,,21,0,1.0,0,0.0,0,0,3,q80-100,,,q80-100,q40-60,,,,,,,-0.8843929658972841,,,0,0,1461,1528,1352,,
93,mean_area:q80-100  mean_concavity:q60-80  mean_fractal_dimension:q00-20,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,3,q80-100,,,q60-80,q00-20,,,,,,,-1.2626846768085478,,,0,0,1194,1278,1100,,
94,mean_area:q80-100  mean_concavity:q80-100  mean_perimeter:q80-100,64,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,64,0.9439909106133634,64,,,64,0,1.0,0,0.0,0,0,3,q80-100,,,q80-100,,q80-100,,,,,,-0.9850478721044875,,,0,0,837,923,743,,
95,mean_area:q80-100  mean_concavity:q60-80  mean_perimeter:q80-100,39,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,39,0.9097488990396657,39,,,39,0,1.0,0,0.0,0,0,3,q80-100,,,q60-80,,q80-100,,,,,,-1.0,,,0,0,918,1006,824,,
96,mean_area:q00-20  mean_concavity:q20-40  mean_perimeter:q00-20,25,1.0,0.0,,,25,,,1.0,True,0.0,,,0,,0,0.8628148284692875,,0,0,,25,0.0,25,0,3,q00-20,,,q20-40,,q00-20,,,,,-1.0,,,,0,0,1239,1069,1061,,
97,mean_area:q00-20  mean_concavity:q40-60  mean_perimeter:q00-20,21,1.0,0.0,,,21,,,1.0,True,0.0,,,0,,0,0.8389023847809204,,0,0,,21,0.0,21,0,3,q00-20,,,q40-60,,q00-20,,,,,-1.0,,,,0,0,1434,1255,1254,,
98,mean_area:q00-20  mean_concavity:q00-20  mean_perimeter:q00-20,51,1.0,0.0,,,51,,,1.0,True,0.0,,,0,,0,0.9302229692504608,,0,0,,51,0.0,51,0,3,q00-20,,,q00-20,,q00-20,,,,,-1.0,,,,0,0,834,652,652,,
99,mean_area:q20-40  mean_concavity:q20-40  mean_perimeter:q20-40,36,1.0,0.0,,0.0,35,,0.975,1.0,True,0.0,,,0,0.0,0,0.8999675644278913,,1,0,0.0,36,0.0,35,1,3,q20-40,,,q20-40,,q20-40,,,,,-0.9485981908996677,-1.0,,,0,0,460,667,667,,
100,mean_area:q20-40  mean_concavity:q40-60  mean_perimeter:q20-40,29,1.0,0.0,,,29,,,1.0,True,0.0,,,0,,0,0.8805551309302788,,0,0,,29,0.0,29,0,3,q20-40,,,q40-60,,q20-40,,,,,-1.0,,,,0,0,1076,891,891,,
101,mean_area:q20-40  mean_concavity:q00-20  mean_perimeter:q20-40,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,3,q20-40,,,q00-20,,q20-40,,,,,-0.9696243663758238,,,,0,0,1018,831,831,,
102,mean_area:q40-60  mean_concavity:q60-80  mean_perimeter:q40-60,20,0.9,1.0,1.0,1.0,9,0.9523809523809523,1.0,0.9974714214555375,True,0.9045340337332909,0.9090909090909091,0.9500000000000001,11,0.6915028921812371,10,0.5549838829718046,0.8520018007729973,10,1,1.0,9,0.6926821758049406,10,0,3,q40-60,,,q60-80,,q40-60,,,,,-1.0,-1.5441725502860357,-1.7430477785304164,-1.4813135234329888,0,0,1385,1119,1530,,
103,mean_area:q40-60  mean_concavity:q20-40  mean_perimeter:q40-60,32,1.0,0.0,,0.0,31,,0.975,1.0,True,0.0,,,0,0.0,0,0.88781125307763,,1,0,0.0,32,0.0,31,1,3,q40-60,,,q20-40,,q40-60,,,,,-0.9427220909042038,-1.0,,,0,0,538,751,751,,
104,mean_area:q40-60  mean_concavity:q40-60  mean_perimeter:q40-60,25,1.0,1.0,0.8699954980675068,0.25,21,0.4,0.8058795503167566,1.0,True,0.46770717334674267,1.0,0.625,1,0.006309463209709889,1,0.8389023847809204,0.38000450193249324,4,0,0.25,24,0.0,21,3,3,q40-60,,,q40-60,,q40-60,,,,,-1.0,-1.0015742207600538,-1.0,-1.0,0,0,842,1014,1163,,
105,mean_area:q40-60  mean_concavity:q00-20  mean_perimeter:q40-60,22,1.0,0.0,,,22,,,1.0,True,0.0,,,0,,0,0.8456274871844254,,0,0,,22,0.0,22,0,3,q40-60,,,q00-20,,q40-60,,,,,-0.8886632019432408,,,,0,0,1400,1209,1234,,
106,mean_area:q60-80  mean_concavity:q80-100  mean_perimeter:q60-80,28,0.0,0.0,,1.0,0,0.9818181818181818,1.0,0.975,True,0.0,0.9642857142857143,,28,0.8722971323845661,27,0.0,,27,1,1.0,0,0.0,1,0,3,q60-80,,,q80-100,,q60-80,,,,,-1.0,-1.3545375466832117,,,0,0,1043,685,919,,
107,mean_area:q60-80  mean_concavity:q60-80  mean_perimeter:q60-80,34,0.8181818181818182,0.8692838847473106,0.9988502032773078,0.9130434782608695,9,0.9130434782608695,0.989290033962079,0.9771688017000408,True,0.7312252964426877,0.9130434782608695,0.8656126482213438,23,0.7196206640905891,21,0.48224414763987544,0.7323750931653797,23,2,0.9130434782608695,11,0.44414326078468996,11,2,3,q60-80,,,q60-80,,q60-80,,,,,-1.0,-1.0415604796699631,-0.9629420052953441,-1.0478828560126912,0,0,669,590,979,,
108,mean_area:q60-80  mean_concavity:q40-60  mean_perimeter:q60-80,31,0.8095238095238095,0.8134354580389044,0.961214206260899,0.8,17,0.7272727272727272,0.9747892736731665,0.9455364318215961,True,0.5849690635808873,0.6666666666666666,0.8047619047619048,12,0.4439045376923585,8,0.5809339588164454,0.6483096032629105,10,4,0.8,19,0.3371479005105343,21,2,3,q60-80,,,q40-60,,q60-80,,,,,-1.0,-1.0,-1.0912001714131858,-1.0,0,0,691,646,985,,
109,mean_area:q80-100  mean_concavity:q80-100  mean_radius:q80-100,63,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,63,0.9431276476680218,63,,,63,0,1.0,0,0.0,0,0,3,q80-100,,,q80-100,,,q80-100,,,,,-0.9700958735936537,,,0,0,824,866,726,,
110,mean_area:q80-100  mean_concavity:q60-80  mean_radius:q80-100,41,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,41,0.9139561637059667,41,,,41,0,1.0,0,0.0,0,0,3,q80-100,,,q60-80,,,q80-100,,,,,-1.0,,,0,0,875,924,759,,
111,mean_area:q00-20  mean_concavity:q20-40  mean_radius:q00-20,25,1.0,0.0,,,25,,,1.0,True,0.0,,,0,,0,0.8628148284692875,,0,0,,25,0.0,25,0,3,q00-20,,,q20-40,,,q00-20,,,,-1.0,,,,0,0,1259,1074,1118,,
112,mean_area:q00-20  mean_concavity:q40-60  mean_radius:q00-20,21,1.0,0.0,,,21,,,1.0,True,0.0,,,0,,0,0.8389023847809204,,0,0,,21,0.0,21,0,3,q00-20,,,q40-60,,,q00-20,,,,-1.0,,,,0,0,1462,1287,1319,,
113,mean_area:q00-20  mean_concavity:q00-20  mean_radius:q00-20,50,1.0,0.0,,,50,,,1.0,True,0.0,,,0,,0,0.9288782635357954,,0,0,,50,0.0,50,0,3,q00-20,,,q00-20,,,q00-20,,,,-0.9810929009678754,,,,0,0,851,684,706,,
114,mean_area:q20-40  mean_concavity:q20-40  mean_radius:q20-40,39,1.0,0.0,,0.0,38,,0.975,1.0,True,0.0,,,0,0.0,0,0.9074872385841217,,1,0,0.0,39,0.0,38,1,3,q20-40,,,q20-40,,,q20-40,,,,-1.0,-1.0,,,0,0,465,684,666,,
115,mean_area:q20-40  mean_concavity:q40-60  mean_radius:q20-40,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,3,q20-40,,,q40-60,,,q20-40,,,,-1.0,,,,0,0,1053,893,906,,
116,mean_area:q20-40  mean_concavity:q00-20  mean_radius:q20-40,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,3,q20-40,,,q00-20,,,q20-40,,,,-0.9696243663758238,,,,0,0,1056,894,907,,
117,mean_area:q40-60  mean_concavity:q60-80  mean_radius:q40-60,21,0.9,1.0,1.0,0.9090909090909091,9,0.9090909090909091,0.9977010277861846,0.9974714214555375,True,0.8090909090909091,0.9090909090909091,0.9045454545454545,11,0.5872200830116173,10,0.5549838829718046,0.7721047302889056,11,1,0.9090909090909091,10,0.6465104446487449,10,1,3,q40-60,,,q60-80,,,q40-60,,,,-1.0,-1.2178938764799352,-1.5153761763447737,-1.044052999634776,0,0,1101,1048,1433,,
118,mean_area:q40-60  mean_concavity:q20-40  mean_radius:q40-60,33,1.0,0.0,,0.0,32,,0.975,1.0,True,0.0,,,0,0.0,0,0.8911188393205571,,1,0,0.0,33,0.0,32,1,3,q40-60,,,q20-40,,,q40-60,,,,-0.9713600536088663,-1.0,,,0,0,515,747,760,,
119,mean_area:q40-60  mean_concavity:q40-60  mean_radius:q40-60,26,1.0,0.5537749241945383,0.7959963984540055,0.2,21,0.33333333333333337,0.7164179361180895,1.0,True,0.4098780306383839,1.0,0.6,1,0.005050763379468115,1,0.8389023847809204,0.4040036015459947,5,0,0.2,25,0.0,21,4,3,q40-60,,,q40-60,,,q40-60,,,,-1.0,-1.0,-1.0,-1.0000000000000002,0,0,800,1004,1118,,
120,mean_area:q40-60  mean_concavity:q00-20  mean_radius:q40-60,25,1.0,0.0,,,25,,,1.0,True,0.0,,,0,,0,0.8628148284692875,,0,0,,25,0.0,25,0,3,q40-60,,,q00-20,,,q40-60,,,,-1.0,,,,0,0,1279,1113,1127,,
121,mean_area:q60-80  mean_concavity:q80-100  mean_radius:q60-80,30,0.0,0.0,,1.0,0,0.983050847457627,1.0,0.975,True,0.0,0.9666666666666667,,30,0.8805551309302788,29,0.0,,29,1,1.0,0,0.0,1,0,3,q60-80,,,q80-100,,,q60-80,,,,-1.0,-1.4065618002029823,,,0,0,963,618,864,,
122,mean_area:q60-80  mean_concavity:q60-80  mean_radius:q60-80,34,0.8181818181818182,0.9374873145175383,0.9988502032773078,0.9130434782608695,9,0.9130434782608695,0.989290033962079,0.9771688017000408,True,0.7312252964426877,0.9130434782608695,0.8656126482213438,23,0.7196206640905891,21,0.48224414763987544,0.7323750931653797,23,2,0.9130434782608695,11,0.49500827954242593,11,2,3,q60-80,,,q60-80,,,q60-80,,,,-1.0,-1.0,-1.1583523461212697,-1.0,0,0,670,592,981,,
123,mean_area:q60-80  mean_concavity:q40-60  mean_radius:q60-80,31,0.8095238095238095,0.8787240669504885,0.961214206260899,0.8,17,0.7272727272727272,0.9747892736731665,0.9455364318215961,True,0.5849690635808873,0.6666666666666666,0.8047619047619048,12,0.4439045376923585,8,0.5809339588164454,0.6483096032629105,10,4,0.8,19,0.31858116196894076,21,2,3,q60-80,,,q40-60,,,q60-80,,,,-1.0,-1.0,-1.096493417941064,-1.0,0,0,699,656,992,,
124,mean_area:q80-100  mean_concavity:q80-100  mean_smoothness:q80-100,26,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,26,0.8677253955022459,26,,,26,0,1.0,0,0.0,0,0,3,q80-100,,,q80-100,,,,q80-100,,,,-0.9654375312655138,,,0,0,1153,1211,1060,,
125,mean_area:q80-100  mean_concavity:q80-100  mean_smoothness:q60-80,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,3,q80-100,,,q80-100,,,,q60-80,,,,-0.7642199145658677,,,0,0,1281,1344,1191,,
126,mean_area:q80-100  mean_concavity:q80-100  mean_symmetry:q80-100,23,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,23,0.8518148710847749,23,,,23,0,1.0,0,0.0,0,0,3,q80-100,,,q80-100,,,,,q80-100,,,-0.7808024264581902,,,0,0,1296,1366,1211,,
127,mean_area:q80-100  mean_concavity:q80-100  mean_texture:q80-100,29,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,29,0.8805551309302788,29,,,29,0,1.0,0,0.0,0,0,3,q80-100,,,q80-100,,,,,,q80-100,,-0.7375561927853097,,,0,0,960,1092,935,,
128,mean_area:q80-100  mean_fractal_dimension:q00-20  mean_perimeter:q80-100,40,0.0,0.0,,1.0,0,0.9873417721518987,1.0,0.975,True,0.0,0.975,,40,0.9097488990396657,39,0.0,,39,1,1.0,0,0.0,1,0,3,q80-100,,,,q00-20,q80-100,,,,,-1.0,-0.9761354924359589,,,0,0,713,454,694,,
129,mean_area:q80-100  mean_fractal_dimension:q40-60  mean_perimeter:q80-100,28,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,28,0.8765638814997305,28,,,28,0,1.0,0,0.0,0,0,3,q80-100,,,,q40-60,q80-100,,,,,,-1.0,,,0,0,992,1133,973,,
130,mean_area:q00-20  mean_fractal_dimension:q80-100  mean_perimeter:q00-20,41,1.0,0.0,,0.0,40,,0.975,1.0,True,0.0,,,0,0.0,0,0.9119026971211966,,1,0,0.0,41,0.0,40,1,3,q00-20,,,,q80-100,q00-20,,,,,-1.0,-1.0,,,0,0,450,677,684,,
131,mean_area:q00-20  mean_fractal_dimension:q60-80  mean_perimeter:q00-20,36,1.0,0.0,,,36,,,1.0,True,0.0,,,0,,0,0.9026062440854072,,0,0,,36,0.0,36,0,3,q00-20,,,,q60-80,q00-20,,,,,-1.0,,,,0,0,944,775,782,,
132,mean_area:q20-40  mean_fractal_dimension:q20-40  mean_perimeter:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,3,q20-40,,,,q20-40,q20-40,,,,,-1.0,,,,0,0,1135,972,971,,
133,mean_area:q20-40  mean_fractal_dimension:q40-60  mean_perimeter:q20-40,31,1.0,0.0,,0.0,30,,0.975,1.0,True,0.0,,,0,0.0,0,0.8842966917779725,,1,0,0.0,31,0.0,30,1,3,q20-40,,,,q40-60,q20-40,,,,,-1.0,-1.0,,,0,0,556,780,786,,
134,mean_area:q20-40  mean_fractal_dimension:q60-80  mean_perimeter:q20-40,23,1.0,0.0,,,23,,,1.0,True,0.0,,,0,,0,0.8518148710847749,,0,0,,23,0.0,23,0,3,q20-40,,,,q60-80,q20-40,,,,,-1.0,,,,0,0,1367,1193,1200,,
135,mean_area:q40-60  mean_fractal_dimension:q00-20  mean_perimeter:q40-60,24,1.0,1.0,1.0,0.5,22,0.6666666666666666,0.987420882906321,1.0,True,0.6915640748081247,1.0,0.75,1,0.01257911709367899,1,0.8456274871844254,0.2600090038649865,2,0,0.5,23,0.0,22,1,3,q40-60,,,,q00-20,q40-60,,,,,-0.9229207656468693,-1.0,-1.0,-1.0,0,0,875,1055,1234,,
136,mean_area:q40-60  mean_fractal_dimension:q20-40  mean_perimeter:q40-60,32,1.0,1.0,,1.0,31,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.88781125307763,,1,0,1.0,31,0.0,31,0,3,q40-60,,,,q20-40,q40-60,,,,,-1.0,-1.0,-1.0,,0,0,778,748,1002,,
137,mean_area:q60-80  mean_fractal_dimension:q80-100  mean_perimeter:q60-80,20,0.5,1.0,1.0,1.0,2,0.9411764705882353,1.0,0.932414013511457,True,0.6666666666666666,0.8888888888888888,0.75,18,0.7940927857921769,16,0.06758598648854298,0.4671035664809571,16,2,1.0,2,0.0,4,0,3,q60-80,,,,q80-100,q60-80,,,,,-1.0,-0.9473408871039317,-1.0,-1.0,0,0,1303,1054,1441,,
138,mean_area:q60-80  mean_fractal_dimension:q00-20  mean_perimeter:q60-80,29,0.8666666666666667,0.8502489680082559,0.9421442121114335,0.7142857142857143,13,0.7692307692307692,0.9161106816933545,0.9834240865599164,True,0.5894338862466559,0.8333333333333334,0.7904761904761906,12,0.4189647428163384,10,0.5953973033966279,0.6388081688409476,14,2,0.7142857142857143,17,0.42549190637181866,15,4,3,q60-80,,,,q00-20,q60-80,,,,,-1.0,-1.0,-1.1724283165071678,-0.9553577247041656,0,0,759,744,1070,,
139,mean_area:q60-80  mean_fractal_dimension:q20-40  mean_perimeter:q60-80,20,0.8333333333333334,0.898717034272917,1.0,0.875,10,0.823529411764706,0.9968402764687477,0.9791374745403382,True,0.6975184488828855,0.7777777777777778,0.8541666666666666,9,0.4734903291248362,7,0.5158622513139235,0.6894501966254146,8,2,0.875,11,0.393975799287523,12,1,3,q60-80,,,,q20-40,q60-80,,,,,-1.0,-1.0,-1.068517554147675,-1.0,0,0,1136,1085,1457,,
140,mean_area:q60-80  mean_fractal_dimension:q60-80  mean_perimeter:q60-80,24,1.0,1.0,,1.0,7,1.0,1.0,1.0,True,1.0,1.0,1.0,17,0.8049356770312616,17,0.5903836027749514,,17,0,1.0,7,1.0,7,0,3,q60-80,,,,q60-80,q60-80,,,,,-1.0,-1.0,,,0,0,1112,1084,1337,,
141,mean_area:q80-100  mean_fractal_dimension:q00-20  mean_radius:q80-100,42,0.0,0.0,,1.0,0,0.9879518072289156,1.0,0.975,True,0.0,0.9761904761904762,,42,0.9139561637059667,41,0.0,,41,1,1.0,0,0.0,1,0,3,q80-100,,,,q00-20,,q80-100,,,,-1.0,-0.9772211300879194,,,0,0,692,439,675,,
142,mean_area:q80-100  mean_fractal_dimension:q40-60  mean_radius:q80-100,28,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,28,0.8765638814997305,28,,,28,0,1.0,0,0.0,0,0,3,q80-100,,,,q40-60,,q80-100,,,,,-1.0,,,0,0,1042,1193,1025,,
143,mean_area:q00-20  mean_fractal_dimension:q80-100  mean_radius:q00-20,44,1.0,1.0,1.0,0.5,42,0.6666666666666666,0.987420882906321,1.0,True,0.6988362419217079,1.0,0.75,1,0.01257911709367899,1,0.9159161450596448,0.2600090038649865,2,0,0.5,43,0.0,42,1,3,q00-20,,,,q80-100,,q00-20,,,,-1.0,-1.0,-1.0,-1.0,0,0,430,594,789,,
144,mean_area:q00-20  mean_fractal_dimension:q40-60  mean_radius:q00-20,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,3,q00-20,,,,q40-60,,q00-20,,,,-1.0,,,,0,0,1543,1363,1372,,
145,mean_area:q00-20  mean_fractal_dimension:q60-80  mean_radius:q00-20,36,1.0,0.0,,,36,,,1.0,True,0.0,,,0,,0,0.9026062440854072,,0,0,,36,0.0,36,0,3,q00-20,,,,q60-80,,q00-20,,,,-1.0,,,,0,0,948,766,775,,
146,mean_area:q20-40  mean_fractal_dimension:q20-40  mean_radius:q20-40,30,1.0,0.0,,,30,,,1.0,True,0.0,,,0,,0,0.8842966917779725,,0,0,,30,0.0,30,0,3,q20-40,,,,q20-40,,q20-40,,,,-0.9696243663758238,,,,0,0,1066,940,916,,
147,mean_area:q20-40  mean_fractal_dimension:q40-60  mean_radius:q20-40,31,1.0,0.0,,0.0,30,,0.975,1.0,True,0.0,,,0,0.0,0,0.8842966917779725,,1,0,0.0,31,0.0,30,1,3,q20-40,,,,q40-60,,q20-40,,,,-1.0,-1.0,,,0,0,541,815,843,,
148,mean_area:q20-40  mean_fractal_dimension:q60-80  mean_radius:q20-40,24,1.0,0.0,,,24,,,1.0,True,0.0,,,0,,0,0.8575264022774187,,0,0,,24,0.0,24,0,3,q20-40,,,,q60-80,,q20-40,,,,-1.0,,,,0,0,1314,1268,1242,,
149,mean_area:q40-60  mean_fractal_dimension:q00-20  mean_radius:q40-60,27,1.0,1.0,1.0,0.5,25,0.6666666666666666,0.987420882906321,1.0,True,0.6933752452815364,1.0,0.75,1,0.01257911709367899,1,0.8628148284692875,0.2600090038649865,2,0,0.5,26,0.0,25,1,3,q40-60,,,,q00-20,,q40-60,,,,-1.0,-1.0,-1.0,-1.0,0,0,735,955,1082,,
150,mean_area:q40-60  mean_fractal_dimension:q20-40  mean_radius:q40-60,31,1.0,1.0,,1.0,30,1.0,1.0,1.0,True,1.0,1.0,1.0,1,0.025000000000000022,1,0.8842966917779725,,1,0,1.0,30,0.0,30,0,3,q40-60,,,,q20-40,,q40-60,,,,-0.9696243663758238,-1.0,-1.0,,0,0,830,892,1036,,
151,mean_area:q60-80  mean_fractal_dimension:q80-100  mean_radius:q60-80,20,0.5,1.0,1.0,1.0,2,0.9411764705882353,1.0,0.932414013511457,True,0.6666666666666666,0.8888888888888888,0.75,18,0.7940927857921769,16,0.06758598648854298,0.4671035664809571,16,2,1.0,2,0.28808578766164733,4,0,3,q60-80,,,,q80-100,,q60-80,,,,-1.0,-1.0,-1.4046636275393367,-1.0,0,0,1365,1072,1457,,
152,mean_area:q60-80  mean_fractal_dimension:q00-20  mean_radius:q60-80,31,0.8823529411764706,0.8877317719564911,0.9442888754704072,0.7142857142857143,15,0.7692307692307692,0.9161106816933545,0.9854206831596984,True,0.6095824321285693,0.8333333333333334,0.7983193277310925,12,0.4189647428163384,10,0.6355908378987497,0.6523497799917778,14,2,0.7142857142857143,19,0.37595123702899247,17,4,3,q60-80,,,,q00-20,,q60-80,,,,-1.0,-1.0,-0.9922846030822138,-1.0,0,0,705,692,1016,,
153,mean_area:q60-80  mean_fractal_dimension:q20-40  mean_radius:q60-80,21,0.8461538461538461,0.9335139520162042,1.0,0.875,11,0.823529411764706,0.9968402764687477,0.9807933280174715,True,0.7076731463403724,0.7777777777777778,0.860576923076923,9,0.4734903291248362,7,0.5455289443234423,0.7011283229904732,8,2,0.875,12,0.4581403467371395,13,1,3,q60-80,,,,q20-40,,q60-80,,,,-0.93948070241057,-1.0,-1.2311892156604098,-0.9670173461910221,0,0,1095,1043,1418,,
154,mean_area:q60-80  mean_fractal_dimension:q60-80  mean_radius:q60-80,26,1.0,1.0,,1.0,7,1.0,1.0,1.0,True,1.0,1.0,1.0,19,0.823533088192828,19,0.5903836027749514,,19,0,1.0,7,1.0,7,0,3,q60-80,,,,q60-80,,q60-80,,,,-1.0,-1.0,,,0,0,1076,1115,1263,,
